Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:27:01.100,19.8,16512568186169978,16512568186169978,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.119,19.3,16512568186369985,16512568186369985,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.140,20.7,16512568186569969,16512568186569969,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.160,20.0,16512568186769966,16512568186769966,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.180,20.0,16512568186969976,16512568186969976,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.200,20.6,16512568187169936,16512568187169936,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.219,18.4,16512568187369969,16512568187369969,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.240,20.8,16512568187569939,16512568187569939,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.260,19.9,16512568187769962,16512568187769962,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.281,20.9,16512568187969940,16512568187969940,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.300,19.4,16512568188172396,16512568188172396,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.319,19.3,16512568188369949,16512568188369949,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.340,20.6,16512568188569904,16512568188569904,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.360,20.1,16512568188769879,16512568188769879,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.380,20.3,16512568188969936,16512568188969936,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.400,20.0,16512568189169906,16512568189169906,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.419,18.6,16512568189369903,16512568189369903,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.440,21.4,16512568189569871,16512568189569871,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.460,19.5,16512568189769877,16512568189769877,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.480,20.3,16512568189969895,16512568189969895,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
